Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,2148.0,4.9,1615.0,https://www.amazon.in/Avatar-Last-Airbender-Animated-Second/dp/1506721699/ref=zg_bs_g_1318054031_d_sccl_2/000-0000000-0000000?psc=1
India's Most Fearless 2 : More Military Stories of Unimaginable Courage and Sacrifice | Stories of War,Shiv Aroor; Rahul Singh,"Biographies, Diaries & True Accounts",True Accounts,Paperback,200.0,4.8,2022.0,https://www.amazon.in/Indias-Most-Fearless-Unimaginable-Sacrifice/dp/0143443151/ref=zg_bs_g_1318067031_d_sccl_27/000-0000000-0000000?psc=1
Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,Sunil Gurjar,Business & Economics,Analysis & Strategy,Paperback,299.0,4.8,1408.0,https://www.amazon.in/Breakout-Trading-Made-Easy-Strategies/dp/8119153987/ref=zg_bs_g_1318070031_d_sccl_3/000-0000000-0000000?psc=1
The Rabbit Listened,Cori Doerrfeld,Children's Books,Animals & Pets,Hardcover,389.0,4.9,4309.0,https://www.amazon.in/Rabbit-Listened-Cori-Doerrfeld/dp/073522935X/ref=zg_bs_g_67803455031_d_sccl_14/000-0000000-0000000?psc=1
Spy X Family: Vol.4,Tatsuya Endo,Comics & Mangas,Mangas,Paperback,492.0,4.9,5053.0,https://www.amazon.in/Spy-Family-Vol-Tatsuya-Endo/dp/1974721035/ref=zg_bs_g_15705396031_d_sccl_8/000-0000000-0000000?psc=1
UNIX and Linux System Administration Handbook,Evi Nemeth,"Computing, Internet & Digital Media",Operating Systems,Paperback,5321.0,4.8,651.0,https://www.amazon.in/UNIX-Linux-System-Administration-Handbook/dp/0134277554/ref=zg_bs_g_1318115031_d_sccl_13/000-0000000-0000000?psc=1
Diary of Steve the Noob 12 (An Unofficial Minecraft Book) (Diary of Steve the Noob Collection),Steve the Noob,"Crafts, Home & Lifestyle",Games & Quizzes,Kindle Edition,142.0,4.9,2093.0,https://www.amazon.in/Diary-Steve-Unofficial-Minecraft-Collection-ebook/dp/B01ELNNFZS/ref=zg_bs_g_1318121031_d_sccl_14/000-0000000-0000000?psc=1
SIX OF CROWS,Leigh Bardugo,"Crime, Thriller & Mystery",Thrillers and Suspense,Paperback,389.0,4.7,35302.0,https://www.amazon.in/Six-Crows-Leigh-Bardugo/dp/1780622287/ref=zg_bs_g_22960213031_d_sccl_1/000-0000000-0000000?psc=1
Open Circuits: The Inner Beauty of Electronic Components,Eric Schlaepfer,Engineering,Electrical & Electronic Engineering,Hardcover,2726.0,4.8,704.0,https://www.amazon.in/Open-Circuits-Beauty-Electronic-Components/dp/1718502346/ref=zg_bs_g_4149474031_d_sccl_7/000-0000000-0000000?psc=1
"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten Notes",Dr. Manish Raj (MR. Sir),Exam Preparation,Medical Entrance,Paperback,421.0,4.8,1923.0,https://www.amazon.in/Physics-Formulas-Mnemonics-Tricks-Handwritten/dp/8119352947/ref=zg_bs_g_4149762031_d_sccl_2/000-0000000-0000000?psc=1
